|Category|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Year Created|image_file
0|2D|Oil|Canvas|Yes|61 x 102 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0155b730aed19c8b64a6cdd19bfb964d.jpg|ARRANGING FLOWERS|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/0155b730aed19c8b64a6cdd19bfb964d.jpg
1|2D|Oil|Canvas|Yes|21.75 x 43.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0b1f5b674e704267c6821a45e9e85c5d.jpg|Favorite of the Seraglio with her Handmaiden|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/0b1f5b674e704267c6821a45e9e85c5d.jpg
2|2D|Oil|Canvas|Yes|54.375 x 37 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f4ce545ec3804fc159167dc6be3586aa.jpg|A lady on a marble bench in Ancient Rome|VASILII KOTARBINSKY|1909|images/vasilii_kotarbinsky/f4ce545ec3804fc159167dc6be3586aa.jpg
3|2D|Oil|Canvas|Yes|211 x 112.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/232af5119f0efde68c57cd449079196d.jpg|MEDUSA|VASILII KOTARBINSKY|1903|images/vasilii_kotarbinsky/232af5119f0efde68c57cd449079196d.jpg
4|2D|Oil|Canvas|Yes|165.5 x 220 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/23fb7201b5638c7c171907b2fdd73f05.jpg|ROMAN ORGY|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/23fb7201b5638c7c171907b2fdd73f05.jpg
5|2D|Oil|Canvas|Yes|60 x 124.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cc2afbb4deb8a6bf1615a08cc5a558b5.jpg|CUPID AND BACCHANTE|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/cc2afbb4deb8a6bf1615a08cc5a558b5.jpg
6|2D|Watercolour|Paper|Yes|61 x 95 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dd99f553c3c619775ecf09dd4dc45c2c.jpg|ORIENTAL SCENE|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/dd99f553c3c619775ecf09dd4dc45c2c.jpg
7|2D|Oil|Canvas|Yes|135 x 246 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4594001d26051ec0aef88c9f8809257b.jpg|CLEOPATRA|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/4594001d26051ec0aef88c9f8809257b.jpg
8|2D|Oil|Canvas|Yes|54 x 37 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1bb0abde79f1481221ae6561868af2f6.jpg|A lady on a marble bench in Ancient Rome|VASILII KOTARBINSKY|1909|images/vasilii_kotarbinsky/1bb0abde79f1481221ae6561868af2f6.jpg
9|2D|Pencil, Brown ink, Watercolour|Paper|Yes|18.75 x 32 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7a41f4cdc1468ac1aaac119280dcf5a8.jpg|An enchanted garden|VASILII KOTARBINSKY|1882|images/vasilii_kotarbinsky/7a41f4cdc1468ac1aaac119280dcf5a8.jpg
10|2D|Oil|Canvas|Yes|69 x 138 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b745064f39e813986008bd6a2f065373.jpg|EVENING|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/b745064f39e813986008bd6a2f065373.jpg
11|2D|Oil|Canvas|Yes|126 x 63.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7dd9e9bc82bfbce495c3ac0d1633fa90.jpg|CARESS OF THE WAVE|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/7dd9e9bc82bfbce495c3ac0d1633fa90.jpg
12|2D|Oil|Canvas|Yes|69 x 138 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/94ad8a20c5017afaa2f647fd0d2180c2.jpg|ROMAN BEAUTY WITH DOVES|VASILII KOTARBINSKY||images/vasilii_kotarbinsky/94ad8a20c5017afaa2f647fd0d2180c2.jpg
