|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
0|2D|1890|Oil|Canvas|Unknown|16.25 x 13.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ef2099b963d7f2f6d48a2d0a7ad245f8.jpg|FLEURS DANS UN VERRE|VINCENT VAN GOGH|images/vincent_van_gogh/ef2099b963d7f2f6d48a2d0a7ad245f8.jpg
1|2D|1885|Oil|Canvas|Unknown|17 x 13.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/04e6c45a114528d624d695965741c855.jpg|Boerin met een kind op haar schoot (Peasant Woman with Child on her Lap)|VINCENT VAN GOGH|images/vincent_van_gogh/04e6c45a114528d624d695965741c855.jpg
2|2D|1882|Pencil|Paper|Yes|19.125 x 9.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f211d6ba1c94c8a7c566d336775f6880.jpg|De zaaier: van voren gezien (The Sower: Front View)|VINCENT VAN GOGH|images/vincent_van_gogh/f211d6ba1c94c8a7c566d336775f6880.jpg
3|2D|1884|Oil|Canvas, Panel|Unknown|12.375 x 16.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5b91f7b2ebe5535707f3314fda1e2ae4.jpg|Stilleven met Fles en Twee Zakken (Still Life with a Bottle and Two Bags)|VINCENT VAN GOGH|images/vincent_van_gogh/5b91f7b2ebe5535707f3314fda1e2ae4.jpg
4|2D|1882|Watercolor, Gouache, Pen, Brown ink|Paper|Yes|10.375 x 14.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2e5a48f56a9772bceb7d2df6b427fbac.jpg|Uitzicht over Den Haag met de Nieuwe Kerk (View of The Hague with Nieuwe Kerk)|VINCENT VAN GOGH|images/vincent_van_gogh/2e5a48f56a9772bceb7d2df6b427fbac.jpg
5|2D|1883|Pencil, Wash|Paper|Yes|12.813 x 10.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2ef14f85da870eaa8956558ea97f5f3e.jpg|Signed 'Vincent' bottom right, pencil and black wash on paper|VINCENT VAN GOGH|images/vincent_van_gogh/2ef14f85da870eaa8956558ea97f5f3e.jpg
6|2D|1882|Pencil, Ink, Watercolour Wash|Paper|Unknown|34 x 27.4 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5f8fd85dcfccd5b040830d53b0cb817e.jpg|ORPHAN MAN|VINCENT VAN GOGH|images/vincent_van_gogh/5f8fd85dcfccd5b040830d53b0cb817e.jpg
7|2D|1885|Black Chalk|Paper|Unknown|27.4 x 21.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7a1ad1154ba64ceb418e0ccc7aea0714.jpg|PEASANT DIGGING UP POTATOES|VINCENT VAN GOGH|images/vincent_van_gogh/7a1ad1154ba64ceb418e0ccc7aea0714.jpg
8|2D|1885|Oil|Canvas, Panel|Unknown|32.2 x 25 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f68f3e254ea35db9ff3dd34e7dde1f5d.jpg|PEASANT WOMAN SEATED|VINCENT VAN GOGH|images/vincent_van_gogh/f68f3e254ea35db9ff3dd34e7dde1f5d.jpg
9|2D|1882|Pencil|Paper|Unknown|45 x 24 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8b2c59f87a11344da5dd5ec53145a1c1.jpg|STUDY OF A BLACKSMITH|VINCENT VAN GOGH|images/vincent_van_gogh/8b2c59f87a11344da5dd5ec53145a1c1.jpg
10|2D|1883|Oil|Canvas, Panel|Unknown|12 x 15.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eb9bf0d5047fa0142abc49ddf7a8ae81.jpg|PAYSAN BRÛLANT DE MAUVAISES HERBES|VINCENT VAN GOGH|images/vincent_van_gogh/eb9bf0d5047fa0142abc49ddf7a8ae81.jpg
11|2D|1886|Oil|Canvas|Yes|18.25 x 15 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fd0505a2320c70d96a1a7870e06ead20.jpg|PEOPLE STROLLING IN A PARK IN PARIS|VINCENT VAN GOGH|images/vincent_van_gogh/fd0505a2320c70d96a1a7870e06ead20.jpg
12|2D|1890|Brush, Ink, Black Chalk, white chalk|Paper|Unknown|24.63 x 18.63 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/48a284f0ad9762535367dc86e61bc803.jpg|EVENING LANDSCAPE WITH TWO PEASANTS|VINCENT VAN GOGH|images/vincent_van_gogh/48a284f0ad9762535367dc86e61bc803.jpg
13|2D|1889|Oil|Canvas|Unknown|16.375 x 13.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a981185321b73fadec8af74fc0fbea47.jpg|Arbres dans le jardin de l'asile|VINCENT VAN GOGH|images/vincent_van_gogh/a981185321b73fadec8af74fc0fbea47.jpg
14|2D|1882|Black Chalk, Pencil|Paper|Yes|45.7 x 28.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/eb4fb4bdbe74ce99618cfd0e123bac01.jpg|Femme debout ou de profil|VINCENT VAN GOGH|images/vincent_van_gogh/eb4fb4bdbe74ce99618cfd0e123bac01.jpg
