|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|image_file
0|2D|1877|Pencil|Paper|Unknown|11.875 x 8 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8cd34f6c53f8965f261a0cfb4cecd5ea.jpg|Portrait d'homme, d'après Holbein|GEORGES SEURAT|images/georges_seurat/8cd34f6c53f8965f261a0cfb4cecd5ea.jpg
1|2D||Pencil|Paper|Unknown|15.625 x 9.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4a579462d7d2a464190515769e3e3b3f.jpg|La Source, d'après Ingres|GEORGES SEURAT|images/georges_seurat/4a579462d7d2a464190515769e3e3b3f.jpg
2|2D||Oil|Panel|Unknown|6.5 x 9.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3cea7923963c076f35f2d6ad234fe69f.jpg|Vaches dans un pré|GEORGES SEURAT|images/georges_seurat/3cea7923963c076f35f2d6ad234fe69f.jpg
3|2D|1883|Oil|Panel, Cradled Panel|Unknown|15.8 x 24.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1700da62d0a8ee98cd465d1bd097ac1d.jpg|La Maison au toit rouge|GEORGES SEURAT|images/georges_seurat/1700da62d0a8ee98cd465d1bd097ac1d.jpg
4|2D|1877|Pencil|Paper|Yes|23.4 x 32.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7b731683345a94c089fb06e19e2eda08.jpg|OEDIPE GUIDÉ PAR ANTIGONE ET ISMÈNE|GEORGES SEURAT|images/georges_seurat/7b731683345a94c089fb06e19e2eda08.jpg
5|2D|1890|Ink|Paper|Yes|10.125 x 6.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/4bfe39c1faa0cf67d14fb8b825da4f3c.jpg|L'Homme à femmes|GEORGES SEURAT|images/georges_seurat/4bfe39c1faa0cf67d14fb8b825da4f3c.jpg
6|2D|1880|Conte Crayon|Paper|Unknown|32.1 x 24.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b34a360883310b515244254201a3fb86.jpg|LA FEMME AU PANIER|GEORGES SEURAT|images/georges_seurat/b34a360883310b515244254201a3fb86.jpg
7|2D|1882|Oil|Cradled Panel|Yes|6.5 x 10.13 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/43b88da9d9edaead2577f503dc4b2baf.jpg|Casseur de pierres|GEORGES SEURAT|images/georges_seurat/43b88da9d9edaead2577f503dc4b2baf.jpg
8|2D|1885|Oil|Canvas|Yes|25.75 x 32 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/981d2204b5155d1d538dd025698e3762.jpg|La rade de Grandcamp (Le port de Grandcamp)|GEORGES SEURAT|images/georges_seurat/981d2204b5155d1d538dd025698e3762.jpg
9|2D|1885|Oil|Panel|Unknown|15.8 x 25 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/87d83c9484b809ecfe756b16e382e0b4.jpg|Le mouillage à Grandcamp|GEORGES SEURAT|images/georges_seurat/87d83c9484b809ecfe756b16e382e0b4.jpg
10|2D|1880|Pencil|Paper, Cardboard |Unknown|16.1 x 10.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b4cfe8d77634c94af74858206c60871d.jpg|Nourrice. Circa 1880/81|GEORGES SEURAT|images/georges_seurat/b4cfe8d77634c94af74858206c60871d.jpg
11|2D|1882|Oil|Panel|Yes|15.8 x 24.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6b85a544315ca8085f86e90fb8878e12.jpg|COUCHANT|GEORGES SEURAT|images/georges_seurat/6b85a544315ca8085f86e90fb8878e12.jpg
12|2D|1875|Pencil, Charcoal|Paper|Yes|14.75 x 21 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cea46e0b0e35544a8ac281fa616814b6.jpg|Nu allongé|GEORGES SEURAT|images/georges_seurat/cea46e0b0e35544a8ac281fa616814b6.jpg
13|2D|1883|Conte Crayon|Paper|Unknown|31.5 x 24.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/174ccfa62d50556a2376108dfaa37156.jpg|LA ZONE (FILLETTE DANS LA NEIGE, LA GRÉVE)|GEORGES SEURAT|images/georges_seurat/174ccfa62d50556a2376108dfaa37156.jpg
14|2D|1890|Conte Crayon|Paper|Unknown|23 x 14.6 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/fe9d33ba115f4d8f110336c12bfe4e41.jpg|LES GRADINS|GEORGES SEURAT|images/georges_seurat/fe9d33ba115f4d8f110336c12bfe4e41.jpg
15|2D|1887|Oil|Cradled Panel|Unknown|6.125 x 9.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5fb236fde1d624305acc0a74418b191a.jpg|Une Périssoire|GEORGES SEURAT|images/georges_seurat/5fb236fde1d624305acc0a74418b191a.jpg
