|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file
0|2D Edition|1946|Lithograph|Paper|Yes|14.625 x 11.25 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/459914c1016567d0cec0396e84578b19.jpg|Catherinette|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/459914c1016567d0cec0396e84578b19.jpg
1|2D Edition|1946|Lithograph|Paper|Yes|12.75 x 19.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dfc36f72c42ba9d43b9c6b6604161be7.jpg|Catherinette|HENRI MATISSE|Oct 22, 2020|3,000 - 5,000 USD|Unsold|images/henri_matisse/dfc36f72c42ba9d43b9c6b6604161be7.jpg
2|2D Edition|1947|Lithograph|Wove paper|Yes|18.75 x 13.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f2f14ef77505c9aa07c3bdde5ddf3aa6.jpg|Chinoise au visage de face|HENRI MATISSE|Oct 22, 2020|7,000 - 10,000 USD|Unsold|images/henri_matisse/f2f14ef77505c9aa07c3bdde5ddf3aa6.jpg
3|2D Edition|1947|Lithograph|Wove paper|Yes|17.5 x 13.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/a43f333279ae2c4ac62896e025b6f9f3.jpg|Chinoise aux Cheveux striés|HENRI MATISSE|Oct 22, 2020|5,000 - 7,000 USD|Unsold|images/henri_matisse/a43f333279ae2c4ac62896e025b6f9f3.jpg
4|2D|1947|Conte crayon|Paper|Yes|16 x 20.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/21dc9a8d4e2071931061a3166b03c0fb.jpg|Coupe de pêches|HENRI MATISSE|Oct 22, 2020|20,000 - 30,000 USD|Unsold|images/henri_matisse/21dc9a8d4e2071931061a3166b03c0fb.jpg
5|2D Edition|1938|Linocut|Paper|Yes|9.375 x 7.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/0b1d5151490cf96c5dfb55200479f37a.jpg|Diane|HENRI MATISSE|Oct 22, 2020|8,000 - 12,000 USD|Unsold|images/henri_matisse/0b1d5151490cf96c5dfb55200479f37a.jpg
6|2D|1942|Pencil|Paper|Yes|10 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6ae74935b3edc193af109b8d36282737.jpg|Etudes de feuilles (recto and verso)|HENRI MATISSE|Oct 22, 2020|4,000 - 6,000 USD|Unsold|images/henri_matisse/6ae74935b3edc193af109b8d36282737.jpg
7|2D Edition|1950|Lithograph|Arches Paper|Unknown|9.875 x 7.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/08dc474c4adeef787008703a4c5b1556.jpg|Etudes pour la Vierge 'Tête voilée' : one plate|HENRI MATISSE|Oct 22, 2020|2,000 - 3,000 USD|Unsold|images/henri_matisse/08dc474c4adeef787008703a4c5b1556.jpg
8|2D Edition|1933|Drypoint|Chine applique, Arches Paper|Yes|14.375 x 12.5 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/42cb8eb4c37b1126f4df210551e2eed2.jpg|Fée au Chapeau du clarté'' Souvenir du 'Mallarmé|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/42cb8eb4c37b1126f4df210551e2eed2.jpg
9|2D Edition|1938|Linocut|Paper|Yes|11.125 x 7.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6f3a62ad562aee1e2d97e919dcd0cf85.jpg|Femme le pouce sur les lèvres|HENRI MATISSE|Oct 22, 2020|5,000 - 7,000 USD|Unsold|images/henri_matisse/6f3a62ad562aee1e2d97e919dcd0cf85.jpg
10|2D Edition|1938|Linocut|Paper|Yes|7.25 x 5.625 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/dea7502579c2bae1f88389a995e79139.jpg|Florentine|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/dea7502579c2bae1f88389a995e79139.jpg
11|2D Edition|1947|Lithograph|Wove paper|Yes|18.25 x 13.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/53f2e5600068dc80043986a6a50860a1.jpg|Jeune Chinoise|HENRI MATISSE|Oct 22, 2020|6,000 - 8,000 USD|Unsold|images/henri_matisse/53f2e5600068dc80043986a6a50860a1.jpg
12|2D Edition|1929|Etching|Wove paper|Yes|5.75 x 3.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/5258b1793ad03cf4ecf8eec3a2225d8d.jpg|Jeune femme à la coiffure hollandaise, regardent des poissons|HENRI MATISSE|Oct 22, 2020|8,000 - 12,000 USD|Unsold|images/henri_matisse/5258b1793ad03cf4ecf8eec3a2225d8d.jpg
13|2D Edition|1929|Etching|Wove paper|Yes|3.5 x 4.875 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/b70dd46321b9e058758b6a292623f209.jpg|Jeune femme, mains croisées près d'un bocal de poissons|HENRI MATISSE|Oct 22, 2020|8,000 - 12,000 USD|Unsold|images/henri_matisse/b70dd46321b9e058758b6a292623f209.jpg
