|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|Est|Sold|image_file|Medium
0|2D|1835|Brush, Pen|Paper|Yes|28.6 x 19.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/db71d17c6b99bbcb339c6b7a61719ff3.jpg|Mountain Stream in Norway.|ANDREAS ACHENBACH|Nov 27, 2019|1,333 - 1,666 USD|1,666 USD|images/andreas_achenbach/db71d17c6b99bbcb339c6b7a61719ff3.jpg|
1|2D|1837|Oil|Canvas|Yes|10.25 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/31cabcab5d8ab2fc3433e690a985ea60.jpg|Norwegische Landschaft|ANDREAS ACHENBACH|Oct 28, 2019|5,000 - 7,000 USD|Unsold|images/andreas_achenbach/31cabcab5d8ab2fc3433e690a985ea60.jpg|
2|2D||Oil|Panel|Yes|17.5 x 30 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/529bbbcbc6021af2efdf868ce35d53c5.jpg|Boote im Hafen|ANDREAS ACHENBACH|Oct 23, 2018|8,000 - 12,000 USD|8,125 USD|images/andreas_achenbach/529bbbcbc6021af2efdf868ce35d53c5.jpg|
3|2D|1815|Oil|Canvas|Yes|13.62 x 10.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3db9605b25d95b10ec099f1f01d19569.jpg|Sunset on a Rocky Coast|ANDREAS ACHENBACH|Jul 26, 2017|2,000 - 3,000 USD|2,250 USD|images/andreas_achenbach/3db9605b25d95b10ec099f1f01d19569.jpg|
4|2D||Oil|Panel|Yes|20.125 x 30.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2f4da8689c5df799c7e2029762898a2d.jpg|Heissische Landschaft|ANDREAS ACHENBACH|Oct 26, 2016|30,000 - 50,000 USD|30,000 USD|images/andreas_achenbach/2f4da8689c5df799c7e2029762898a2d.jpg|
5|2D||Oil|Canvas|Yes|25.75 x 34.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f69409d7d8b839702fccf67e3e15a2ee.jpg|The Shipwreck|ANDREAS ACHENBACH|Dec 4, 2014|3,132 - 4,698 USD|2,349 USD|images/andreas_achenbach/f69409d7d8b839702fccf67e3e15a2ee.jpg|
6|2D|1879|Oil|Canvas|Yes|66 x 90 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/098d12609e49ce1b18e512c75356109a.jpg|The harbour of Ostend|ANDREAS ACHENBACH|May 14, 2014|6,859 - 9,603 USD|8,574 USD|images/andreas_achenbach/098d12609e49ce1b18e512c75356109a.jpg|
7|2D||Oil|Canvas|Yes|80.2 x 100.6 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cef15459aab9114631dfd6184d158f54.jpg|Bundling forces in rough seas|ANDREAS ACHENBACH|May 7, 2013|10,485 - 15,728 USD|19,660 USD|images/andreas_achenbach/cef15459aab9114631dfd6184d158f54.jpg|
8|2D|1866|Oil|Panel|Yes|74.6 x 64.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1928a9e5c7fb5f8e02e7951701dc6c4e.jpg|Farewell to the fleet|ANDREAS ACHENBACH|May 7, 2013|52,428 - 78,642 USD|127,793 USD|images/andreas_achenbach/1928a9e5c7fb5f8e02e7951701dc6c4e.jpg|
9|2D||Oil|Board|Yes|27 x 39 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ebf086a419b85bad36e9c95da13cd787.jpg|A winter landscape with hunters on the ice|ANDREAS ACHENBACH|May 8, 2012|9,117 - 13,025 USD|11,396 USD|images/andreas_achenbach/ebf086a419b85bad36e9c95da13cd787.jpg|
10|2D||Oil|Canvas|Yes|71.5 x 101 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2b13cad394d10147771d2f2b48f5417b.jpg|A fishing boat and a steamer in rough seas|ANDREAS ACHENBACH|Apr 13, 2010|13,583 - 20,374 USD|15,280 USD|images/andreas_achenbach/2b13cad394d10147771d2f2b48f5417b.jpg|
