Artist	Movement
ALEXANDER CALDER	Surrealism
HENRI MATISSE	Modernism/Fauvism/Post-Impressionism
CLAUDE MONET	Impressionism
GUSTAV KLIMT	Symbolism/Art Nouveau
AFFANDI	Expressionism/Eastern
ARMAN	Modernism
REMBRANDT HARMENSZOON VAN RIJN	Baroque
VINCENT VAN GOGH	Post-Impressionism
ARMANDO	Modernism
JEAN-HONORÉ FRAGONARD	Rococo
EUGÈNE DELACROIX	Romanticism
FRANZ ACKERMANN	Contemporary
EDVARD MUNCH	Expressionism/Symbolism
GIOVANNI FRANCESCO BARBIERI, CALLED GUERCINO	Baroque
JAN STEEN	Baroque
GEORGES SEURAT	Post-Impressionism/Pointillism
JEAN-ANTOINE WATTEAU	Rococo
AFRO	Expressionism
ABOUDIA	Contemporary
ALEXANDER ALTMANN	Impressionism/Landscape
ALEXANDER ARCHIPENKO	Cubism
CARLA ACCARDI	Abstraction
GUSTAVE MOREAU	Symbolism
OSWALD ACHENBACH	Realism/Landscape
RITA ACKERMANN	Contemporary
ANDREAS ACHENBACH	Romanticism/Landscape
VITO ACCONCI	Contemporary
HANS VON AACHEN	Mannerism
ZAINUL ABEDIN	Modernism/Eastern
VASILII KOTARBINSKY	Romanticism
JOE ABBRESCIA	Contemporary/Landscape
S. DWI STYA ACONG	Impressionism/Surrealism/Eastern
AWIKI	Contemporary/Eastern
MERAB ABRAMISHVILI	Neo-Expressionism/Eastern
ANDRE	Contemporary
ABBEY ALTSON	Symbolism/Pre-Raphaelite
ATHIER	Modernism
ABED ABDI	Contemporary
KNUD SINDING AARHUS	Realism
TONY ABEYTA	Contemporary/Navajo
JIMMY ABEITA	Contemporary/Navajo
MOHAMMED AHMED ABDALLA ABBARO	Modernism/Abstraction
GUSTAVO ACOSTA	Surrealism/Contemporary/Industrial
ASSADOUR	Cubism/Contemporary
HAMRA ABBAS	Contemporary
