|Category|Year Created|Surface|Substrate|Signature|Image Size|img_url|Title|Artist Name|Date of Sale|image_file|Medium|low_est|high_est|Sold|Artist|Movement
0|2D|1835.0|Brush, Pen|Paper|Yes|28.6 x 19.7 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/db71d17c6b99bbcb339c6b7a61719ff3.jpg|Mountain Stream in Norway.|ANDREAS ACHENBACH|Nov 27, 2019|images/andreas_achenbach/db71d17c6b99bbcb339c6b7a61719ff3.jpg||1333|1666|1666.0|ANDREAS ACHENBACH|Romanticism/Landscape
1|2D|1837.0|Oil|Canvas|Yes|10.25 x 14.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/31cabcab5d8ab2fc3433e690a985ea60.jpg|Norwegische Landschaft|ANDREAS ACHENBACH|Oct 28, 2019|images/andreas_achenbach/31cabcab5d8ab2fc3433e690a985ea60.jpg||5000|7000||ANDREAS ACHENBACH|Romanticism/Landscape
2|2D||Oil|Panel|Yes|17.5 x 30 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/529bbbcbc6021af2efdf868ce35d53c5.jpg|Boote im Hafen|ANDREAS ACHENBACH|Oct 23, 2018|images/andreas_achenbach/529bbbcbc6021af2efdf868ce35d53c5.jpg||8000|12000|8125.0|ANDREAS ACHENBACH|Romanticism/Landscape
3|2D|1815.0|Oil|Canvas|Yes|13.62 x 10.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/3db9605b25d95b10ec099f1f01d19569.jpg|Sunset on a Rocky Coast|ANDREAS ACHENBACH|Jul 26, 2017|images/andreas_achenbach/3db9605b25d95b10ec099f1f01d19569.jpg||2000|3000|2250.0|ANDREAS ACHENBACH|Romanticism/Landscape
4|2D||Oil|Panel|Yes|20.125 x 30.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2f4da8689c5df799c7e2029762898a2d.jpg|Heissische Landschaft|ANDREAS ACHENBACH|Oct 26, 2016|images/andreas_achenbach/2f4da8689c5df799c7e2029762898a2d.jpg||30000|50000|30000.0|ANDREAS ACHENBACH|Romanticism/Landscape
5|2D||Oil|Canvas|Yes|25.75 x 34.75 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/f69409d7d8b839702fccf67e3e15a2ee.jpg|The Shipwreck|ANDREAS ACHENBACH|Dec 4, 2014|images/andreas_achenbach/f69409d7d8b839702fccf67e3e15a2ee.jpg||3132|4698|2349.0|ANDREAS ACHENBACH|Romanticism/Landscape
6|2D|1879.0|Oil|Canvas|Yes|66 x 90 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/098d12609e49ce1b18e512c75356109a.jpg|The harbour of Ostend|ANDREAS ACHENBACH|May 14, 2014|images/andreas_achenbach/098d12609e49ce1b18e512c75356109a.jpg||6859|9603|8574.0|ANDREAS ACHENBACH|Romanticism/Landscape
7|2D||Oil|Canvas|Yes|80.2 x 100.6 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/cef15459aab9114631dfd6184d158f54.jpg|Bundling forces in rough seas|ANDREAS ACHENBACH|May 7, 2013|images/andreas_achenbach/cef15459aab9114631dfd6184d158f54.jpg||10485|15728|19660.0|ANDREAS ACHENBACH|Romanticism/Landscape
8|2D|1866.0|Oil|Panel|Yes|74.6 x 64.2 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1928a9e5c7fb5f8e02e7951701dc6c4e.jpg|Farewell to the fleet|ANDREAS ACHENBACH|May 7, 2013|images/andreas_achenbach/1928a9e5c7fb5f8e02e7951701dc6c4e.jpg||52428|78642|127793.0|ANDREAS ACHENBACH|Romanticism/Landscape
9|2D||Oil|Board|Yes|27 x 39 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ebf086a419b85bad36e9c95da13cd787.jpg|A winter landscape with hunters on the ice|ANDREAS ACHENBACH|May 8, 2012|images/andreas_achenbach/ebf086a419b85bad36e9c95da13cd787.jpg||9117|13025|11396.0|ANDREAS ACHENBACH|Romanticism/Landscape
10|2D||Oil|Canvas|Yes|71.5 x 101 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/2b13cad394d10147771d2f2b48f5417b.jpg|A fishing boat and a steamer in rough seas|ANDREAS ACHENBACH|Apr 13, 2010|images/andreas_achenbach/2b13cad394d10147771d2f2b48f5417b.jpg||13583|20374|15280.0|ANDREAS ACHENBACH|Romanticism/Landscape
11|2D||Oil|Canvas|Yes|81 x 105 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/967a54aa249115eeecddf61ad6b46f5a.jpg|A moored steamer at a busy quay|ANDREAS ACHENBACH|Apr 13, 2010|images/andreas_achenbach/967a54aa249115eeecddf61ad6b46f5a.jpg||20374|27166|25468.0|ANDREAS ACHENBACH|Romanticism/Landscape
12|2D||Oil|Canvas|Yes|33 x 51 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/ee4cdd9eb11306e14f25e264092be969.jpg|SHIPPING IN CHOPPY WATERS|ANDREAS ACHENBACH|Apr 14, 2008|images/andreas_achenbach/ee4cdd9eb11306e14f25e264092be969.jpg||12695|19042||ANDREAS ACHENBACH|Romanticism/Landscape
13|2D|1867.0|Oil|Canvas|Yes|35.5 x 52 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/7fd9b8fcda2c6a918c88b5f9365d4944.jpg|The Watermill in the Village|ANDREAS ACHENBACH|Oct 24, 2007|images/andreas_achenbach/7fd9b8fcda2c6a918c88b5f9365d4944.jpg||30000|40000|73000.0|ANDREAS ACHENBACH|Romanticism/Landscape
14|2D||Oil|Panel|Yes|50 x 61.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/85592807c4662dadee88e5f2431252ae.jpg|Rowing on rough seas|ANDREAS ACHENBACH|Oct 17, 2007|images/andreas_achenbach/85592807c4662dadee88e5f2431252ae.jpg||7100|9940|7987.0|ANDREAS ACHENBACH|Romanticism/Landscape
15|2D||Oil|Canvas|Yes|127 x 173 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/828db8e2a839d2779f67082a00f7ba7b.jpg|The departure of the steamship|ANDREAS ACHENBACH|Oct 24, 2006|images/andreas_achenbach/828db8e2a839d2779f67082a00f7ba7b.jpg||50164|75246|60196.0|ANDREAS ACHENBACH|Romanticism/Landscape
16|2D||Oil|Canvas, Panel|Yes|23.5 x 50.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6221c9b8317bef41fafce1c79a67d02b.jpg|The rescue|ANDREAS ACHENBACH|Oct 24, 2006|images/andreas_achenbach/6221c9b8317bef41fafce1c79a67d02b.jpg||2508|3762|3009.0|ANDREAS ACHENBACH|Romanticism/Landscape
17|2D||Oil|Panel|Yes|35 x 46 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/1d0750c847d693a3c0c2d2bfb0816c47.jpg|The boat wharf|ANDREAS ACHENBACH|Apr 26, 2006|images/andreas_achenbach/1d0750c847d693a3c0c2d2bfb0816c47.jpg||18637|24850|20874.0|ANDREAS ACHENBACH|Romanticism/Landscape
18|2D||Oil|Canvas|Yes||https://artbnk-art-resized-images.s3.amazonaws.com/w526/e30bd8e42bcbb29b6900ec7084a8cab9.jpg|The Race|ANDREAS ACHENBACH|Apr 26, 2006|images/andreas_achenbach/e30bd8e42bcbb29b6900ec7084a8cab9.jpg||37275|62125|89460.0|ANDREAS ACHENBACH|Romanticism/Landscape
19|2D||Oil|Canvas|Yes|42 x 62 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/d204244494c1245af46d8bc3d3d45d75.jpg|A windmill in a storm|ANDREAS ACHENBACH|Dec 2, 2004|images/andreas_achenbach/d204244494c1245af46d8bc3d3d45d75.jpg||11593|15457|19395.0|ANDREAS ACHENBACH|Romanticism/Landscape
20|2D|1838.0|Watercolour|Paper|Yes|5 x 5.125 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/beac2092aad7c91227aeb0a9e23c1418.jpg|The carousing figures|ANDREAS ACHENBACH|Apr 29, 2004|images/andreas_achenbach/beac2092aad7c91227aeb0a9e23c1418.jpg||44|352|105.0|ANDREAS ACHENBACH|Romanticism/Landscape
21|2D||Oil|Canvas|Yes|18 x 24 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/8053e9c6cb9b5d04aa939c3b7e0a2154.jpg|The fishermen's return|ANDREAS ACHENBACH|Mar 21, 2002|images/andreas_achenbach/8053e9c6cb9b5d04aa939c3b7e0a2154.jpg||3566|4993|6370.0|ANDREAS ACHENBACH|Romanticism/Landscape
22|2D|1996.0|Acrylic|Canvas|Yes|48 x 52 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/6b360e0a156740041eebd2b6f3bdc5a3.jpg|Untitled|GUSTAVO ACOSTA|May 29, 2019|images/gustavo_acosta/6b360e0a156740041eebd2b6f3bdc5a3.jpg||6000|8000|10625.0|GUSTAVO ACOSTA|Surrealism/Contemporary/Industrial
23|2D|1996.0|Acrylic|Canvas|Yes|50.25 x 55 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/23440ea79e6ca9d8f7a78dfb8838394c.jpg|El estimulo y lo posible|GUSTAVO ACOSTA|Jun 25, 2014|images/gustavo_acosta/23440ea79e6ca9d8f7a78dfb8838394c.jpg||5000|7000|3500.0|GUSTAVO ACOSTA|Surrealism/Contemporary/Industrial
24|2D||Oil|Canvas|Yes|22 x 29 inch|https://artbnk-art-resized-images.s3.amazonaws.com/w526/79c988673f526b50a1d2be13f4b2cd1e.jpg|Mediterranean Landscape with Village and Monatery|OSWALD ACHENBACH|May 27, 2020|images/oswald_achenbach/79c988673f526b50a1d2be13f4b2cd1e.jpg||5000|7000|5376.0|OSWALD ACHENBACH|Realism/Landscape
25|2D|1849.0|Oil|Canvas|Yes|33.5 x 28.5 cm|https://artbnk-art-resized-images.s3.amazonaws.com/w526/e245b8089441b861fa90010886d8e8a2.jpg|In the Albanian mountains.|OSWALD ACHENBACH|Nov 27, 2019|images/oswald_achenbach/e245b8089441b861fa90010886d8e8a2.jpg||8887|13330|11109.0|OSWALD ACHENBACH|Realism/Landscape
